Track Name,Artist Name,YouTube URL
Dancing In the Dark,Bruce Springsteen,https://www.youtube.com/watch?v=129kuDCQtHs
Should I Stay or Should I Go - Remastered,The Clash,https://www.youtube.com/watch?v=e7tWqyM3r-g
Bette Davis Eyes,Kim Carnes,https://www.youtube.com/watch?v=EPOIS5taqA8
Baby Can I Hold You,Tracy Chapman,https://www.youtube.com/watch?v=DqoLMGSBGYc
Kickstart My Heart,Mötley Crüe,https://www.youtube.com/watch?v=mVurA44hwiw
Don't You Want Me,The Human League,https://www.youtube.com/watch?v=uPudE8nDog0
Jump - 2015 Remaster,Van Halen,https://www.youtube.com/watch?v=q-4TkRMEK7Y
Rock with You - Single Version,Michael Jackson,https://www.youtube.com/watch?v=8GTb-_ZQpLQ
Every Little Thing She Does Is Magic,The Police,https://www.youtube.com/watch?v=aENX1Sf3fgQ
Flashdance...What a Feeling - Radio Edit,Irene Cara,https://www.youtube.com/watch?v=0TMoc959LCA
9 to 5,Dolly Parton,https://www.youtube.com/watch?v=UbxUSsFXYo4
You Can't Hurry Love - 2016 Remaster,Phil Collins,https://www.youtube.com/watch?v=oXSn_N2jmBs
Lay All Your Love On Me,ABBA,https://www.youtube.com/watch?v=ulZQTrV8QlQ
Don't You (Forget About Me),Simple Minds,https://www.youtube.com/watch?v=CdqoNKCCt7A
I'm On Fire,Bruce Springsteen,https://www.youtube.com/watch?v=lrpXArn3hII
In The Air Tonight - 2015 Remastered,Phil Collins,https://www.youtube.com/watch?v=rvUjjtZ_opk
Right Here Waiting,Richard Marx,https://www.youtube.com/watch?v=S_E2EHVxNAE
We Built This City,Starship,https://www.youtube.com/watch?v=K1b8AhIsSYQ
Another Day in Paradise - 2016 Remaster,Phil Collins,https://www.youtube.com/watch?v=5QCCkueE0cs
We Didn't Start the Fire,Billy Joel,https://www.youtube.com/watch?v=eFTLKWw542g
Don't Dream It's Over,Crowded House,https://www.youtube.com/watch?v=J9gKyRmic20
I Won't Back Down,Tom Petty,https://www.youtube.com/watch?v=nvlTJrNJ5lA
99 Luftballons,Nena,https://www.youtube.com/watch?v=Fpu5a0Bl8eY
The Lady In Red,Chris de Burgh,https://www.youtube.com/watch?v=T9Jcs45GhxU
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,https://www.youtube.com/watch?v=FLy7dxC3nTo
Self Control,Laura Branigan,https://www.youtube.com/watch?v=RP0_8J7uxhs
Little Lies - 2017 Remaster,Fleetwood Mac,https://www.youtube.com/watch?v=S8IZxqgFhdA
The Winner Takes It All,ABBA,https://www.youtube.com/watch?v=92cwKCU8Z5c
We're Not Gonna Take It,Twisted Sister,https://www.youtube.com/watch?v=4xmckWVPRaI
Smooth Criminal - 2012 Remaster,Michael Jackson,https://www.youtube.com/watch?v=WxEUCd3Ko5g
You Can Call Me Al,Paul Simon,https://www.youtube.com/watch?v=uq-gYOrU8bA
Panama - 2015 Remaster,Van Halen,https://www.youtube.com/watch?v=yMoDJ4HWWaE
You're the Inspiration - 2006 Remaster,Chicago,https://www.youtube.com/watch?v=JDwYSmBV-gw
Your Love,The Outfield,https://www.youtube.com/watch?v=4N1iwQxiHrs
Another One Bites The Dust - Remastered 2011,Queen,https://www.youtube.com/watch?v=1tLYYSofs3U
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,https://www.youtube.com/watch?v=v84KMXHIf9M
Gypsy,Fleetwood Mac,https://www.youtube.com/watch?v=mwgg1Pu6cNg
Whatever She Wants,Bryson Tiller,https://www.youtube.com/watch?v=-I8DrXXGd9E
Bandit,Don Toliver,https://www.youtube.com/watch?v=FauDn2LkeQ4
FUK SUMN,¥$,https://www.youtube.com/watch?v=tGcX2mhY9q0
Let's Go,Key Glock,https://www.youtube.com/watch?v=zG5gWncAhls
Never Lose Me,Flo Milli,https://www.youtube.com/watch?v=z67xXk8aNIk
First Person Shooter (feat. J. Cole),Drake,https://www.youtube.com/watch?v=Xty2gi5cMa8
Surround Sound (feat. 21 Savage & Baby Tate),JID,https://www.youtube.com/watch?v=Y19q-7VN2WI
ONE CALL,Rich Amiri,https://www.youtube.com/watch?v=Q7N99EzNQrw
née-nah,21 Savage,https://www.youtube.com/watch?v=hSitXYlIqKI
Like What (Freestyle),Cardi B,https://www.youtube.com/watch?v=GcNC7YnlhKc
Giving Chanel,Meek Mill,https://www.youtube.com/watch?v=59j0vBiPuS4
GET OFF ME (with Travis Scott),Kid Cudi,https://www.youtube.com/watch?v=uUNCTshP0LU
