Track Name,Artist
"yes, and?",Ariana Grande
Snooze,SZA
Die For You - Remix,The Weeknd
Stick Season,Noah Kahan
vampire,Olivia Rodrigo
Saturn,SZA
CARNIVAL,¥$
Training Season,Dua Lipa
positions,Ariana Grande
greedy,Tate McRae
Lovin On Me,Jack Harlow
Here With Me,d4vd
cardigan,Taylor Swift
Happier Than Ever,Billie Eilish
Kill Bill,SZA
traitor,Olivia Rodrigo
My Love Mine All Mine,Mitski
Save Your Tears (with Ariana Grande) (Remix),The Weeknd
CUFF IT,Beyoncé
Boy's a liar Pt. 2,PinkPantheress
Dynamite,BTS
STAY (with Justin Bieber),The Kid LAROI
Blinding Lights,The Weeknd
redrum,21 Savage
What You Know Bout Love,Pop Smoke
Blueberry Faygo,Lil Mosey
Levitating (feat. DaBaby),Dua Lipa
MONTERO (Call Me By Your Name),Lil Nas X
drivers license,Olivia Rodrigo
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
Woman,Doja Cat
Unholy (feat. Kim Petras),Sam Smith
WAP (feat. Megan Thee Stallion),Cardi B
DÁKITI,Bad Bunny
Seven (feat. Latto),Jung Kook
Anti-Hero,Taylor Swift
death bed (coffee for your head),Powfu
Good Days,SZA
Heartbreak Anniversary,Giveon
Heat Waves,Glass Animals
Glimpse of Us,Joji
Bad Habit,Steve Lacy
Mood (feat. iann dior),24kGoldn
august,Taylor Swift
Feather,Sabrina Carpenter
Water,Tyla
34+35,Ariana Grande
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
First Class,Jack Harlow
Rich Flex,Drake
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd
FTCU,Nicki Minaj
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
Love On,Selena Gomez
Toosie Slide,Drake
Rain On Me (with Ariana Grande),Lady Gaga
Yummy,Justin Bieber
Holy (feat. Chance The Rapper),Justin Bieber
Prisoner (feat. Dua Lipa),Miley Cyrus
Physical,Dua Lipa
POPSTAR (feat. Drake),DJ Khaled
Fair Trade (with Travis Scott),Drake
Butter,BTS
Kiss Me More (feat. SZA),Doja Cat
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
Need to Know,Doja Cat
Bad Habits,Ed Sheeran
pov,Ariana Grande
willow,Taylor Swift
You Right,Doja Cat
THATS WHAT I WANT,Lil Nas X
Is There Someone Else?,The Weeknd
Late Night Talking,Harry Styles
Left and Right (Feat. Jung Kook of BTS),Charlie Puth
Lavender Haze,Taylor Swift
Ghost,Justin Bieber
Out of Time,The Weeknd
Bam Bam (feat. Ed Sheeran),Camila Cabello
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap
Ella Baila Sola,Eslabon Armado
Paint The Town Red,Doja Cat
Calm Down (with Selena Gomez),Rema
Daylight,David Kushner
Karma,Taylor Swift
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd
bad idea right?,Olivia Rodrigo
drivers license,Olivia Rodrigo
Good Days,SZA
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
Save Your Tears (with Ariana Grande) (Remix),The Weeknd
Woman,Doja Cat
34+35,Ariana Grande
love nwantiti (ah ah ah),CKay
Heartbreak Anniversary,Giveon
Fair Trade (with Travis Scott),Drake
MONTERO (Call Me By Your Name),Lil Nas X
Beggin',Måneskin
Levitating (feat. DaBaby),Dua Lipa
Butter,BTS
Kiss Me More (feat. SZA),Doja Cat
STAY (with Justin Bieber),The Kid LAROI
Happier Than Ever,Billie Eilish
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift
happier,Olivia Rodrigo
telepatía,Kali Uchis
Astronaut In The Ocean,Masked Wolf
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
Need to Know,Doja Cat
Hurricane,Kanye West
Bad Habits,Ed Sheeran
Hold On,Justin Bieber
pov,Ariana Grande
My Universe,Coldplay
Todo De Ti,Rauw Alejandro
You Right,Doja Cat
willow,Taylor Swift
Heat Waves,Glass Animals
I WANNA BE YOUR SLAVE,Måneskin
Up,Cardi B
Baila Conmigo (with Rauw Alejandro),Selena Gomez
Yonaguni,Bad Bunny
Body,Megan Thee Stallion
positions,Ariana Grande
traitor,Olivia Rodrigo
Arcade (feat. FLETCHER),Duncan Laurence
Build a Bitch,Bella Poarch
DÁKITI,Bad Bunny
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5
Solar Power,Lorde
We're Good,Dua Lipa
WITHOUT YOU (with Miley Cyrus),The Kid LAROI
Love Story (Taylor’s Version),Taylor Swift
late at night,Roddy Ricch
Calling My Phone,Lil Tjay
RAPSTAR,Polo G
Girls Want Girls (with Lil Baby),Drake
Whoopty,CJ
Mood (feat. iann dior),24kGoldn
LA NOCHE DE ANOCHE,Bad Bunny
Anyone,Justin Bieber
Meet Me At Our Spot,THE ANXIETY
Afterglow,Ed Sheeran
BICHOTA,KAROL G
Bandido,Myke Towers
Prisoner (feat. Dua Lipa),Miley Cyrus
Blinding Lights,The Weeknd
test drive,Ariana Grande
Lemonade,Internet Money
Watermelon Sugar,Harry Styles
Lost Cause,Billie Eilish
Selfish Love (with Selena Gomez),DJ Snake
What You Know Bout Love,Pop Smoke
Dynamite,BTS
Head & Heart (feat. MNEK),Joel Corry
Save Your Tears,The Weeknd
Best Friend (feat. Doja Cat),Saweetie
What’s Next,Drake
On The Ground,ROSÉ
As I Am (feat. Khalid),Justin Bieber
Met Him Last Night (feat. Ariana Grande),Demi Lovato
m y . l i f e (with 21 Savage & Morray),J. Cole
Permission to Dance,BTS
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW
Motley Crew,Post Malone
Pepas,Farruko
THATS WHAT I WANT,Lil Nas X
Rumors (feat. Cardi B),Lizzo
Skate,Bruno Mars
Cold Heart - PNAU Remix,Elton John
Leave Before You Love Me (with Jonas Brothers),Marshmello
Girl From Rio,Anitta
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes
Life Goes On,Oliver Tree
Dick (feat. Doja Cat),StarBoi3
Praise God,Kanye West
Anti-Hero,Taylor Swift
Bad Habit,Steve Lacy
Is There Someone Else?,The Weeknd
First Class,Jack Harlow
CUFF IT,Beyoncé
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
Unholy (feat. Kim Petras),Sam Smith
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush
Heat Waves,Glass Animals
Glimpse of Us,Joji
Late Night Talking,Harry Styles
Left and Right (Feat. Jung Kook of BTS),Charlie Puth
