,Track Name,Artist,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_signature,Lyrics
0,"yes, and?",Ariana Grande,89,pop,214994,2024-01-12,96,0.788,0.758,1,-6.513,1,0.0505,0.198,8.5e-05,0.104,0.823,119.008,4,"In case you haven't noticed
Well, everybody's tired
And healin' from somebody
Or somethin' we don't see just right

Boy, come on, put your lipstick on (no one can tell you nothin')
Come on and walk this way through the fire (don't care what's on their mind)
And if you find yourself in a dark situation
Just turn on your light and be like

""Yes, and?""
Say that shit with your chest, and
Be your own fuckin' best friend
Say that shit with your chest
Keep movin' like, ""What's next?""
""Yes, and?""

Now I'm so done with caring
What you think, no, I won't hide
...
"
1,Snooze,SZA,90,"pop, r&b, rap",201800,2022-12-09,94,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4,"I'll touch that fire for you
I do that three-four times again, I testify for you
I told that lie, I'd kill that b-
I do what all of them around you scared to do, I'm not
Long as you juggin' out here for me, I got it
Mobbin', scheming, looting, hide your bodies
Long as you dreaming 'bout me, ain't no problem
I don't got nobody, just with you right now
Tell the truth, I look better under you

I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do

I can't lose when I'm with you
I can't just snooze and miss the moment
You just too important
Nobody do body like you do, you do

In the droptop ride with you, I feel like Scarface (Scarface)
Like the white b- with the bob, I'll be your main one (main one)
...
"
2,Die For You - Remix,The Weeknd,95,"canadian contemporary r&b, canadian pop, pop",232857,2023-02-24,82,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,4,"I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you (yeah)
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, especially in the night
I'm scared that I'll miss you, happens every time

I don't want this feelin', I can't afford love
I try to find reason to pull us apart
It ain't workin', 'cause you're perfect
And I know that you're worth it, I can't walk away (hey)

Even though we'rе goin' through it (ah, ah)
And if it makes you feel alone
Just know that I would die for you (ooh, ooh)
Baby, I would die for you, yeah
...
"
3,Stick Season,Noah Kahan,87,pov: indie,182346,2022-10-14,98,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,4,"As you promised me that I was more than all the miles combined
You must have had yourself a change of heart like
Halfway through the drive
Because your voice trailed off exactly as you passed my exit sign
Kept on drivin' straight and left our future to the right

Now I am stuck between my anger and the blame that I can't face
And memories are somethin' even smoking weed does not replace
And I am terrified of weather 'cause I see you when it rains
Doc told me to travel, but there's COVID on the planes

And I love Vermont, but it's the season of the sticks
And I saw your mom, she forgot that I existed
And it's half my fault, but I just like to play the victim
I'll drink alcohol 'til my friends come home for Christmas

And I'll dream each night of some version of you
...
"
4,vampire,Olivia Rodrigo,88,pop,219724,2023-06-30,37,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,4,"I hate to give the satisfaction asking, ""How you're doing now?""
How's the castle built off people you pretend to care about?
Just what you wanted
Look at you, cool guy, you got it

I see the parties and the diamonds
Sometimes when I close my eyes
Six months of torture you sold as some forbidden paradise
I loved you truly
You gotta laugh at the stupidity

'Cause I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night

I used to think I was smart
But you made me look so naive
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, dream crusher
...
"
5,Saturn,SZA,90,"pop, r&b, rap",186191,2024-02-22,88,0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,4,"If there's another universe
Please make some noise (noise)
Give me a sign (sign)
This can't be life

If there's a point to losing love
Repeating pain (why?)
It's all the same (same)
I hate this place

Stuck in this paradigm
Don't believe in paradise
This must be what Hell is like
There's got to be more, got to be more

Sick of this head of mine
Intrusive thoughts, they paralyze
Nirvana's not as advertised
There's got to be more, been here before

Oh (oh, ooh)
Life's better on Saturn
Got to break this pattern
Of floating away
...
"
6,CARNIVAL,¥$,84,,264324,2024-02-09,95,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,4,"Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible

Ha, ha, ha, schyeah

Way too rich to drive a Rove'
Made a milli' on the stove
She like to put it in her nose
Pretty bitch with white toes
I done put on all the bros
I done fucked her in the Rolls (Hahahaha)
I done pulled up in the Ghost
I done reached all my goals
Yeah, yeah, pull up with Yeezy and Dolla $ign
I'm all about business, I'm mindin' mine
Pull up in the trenches like Columbine
Pull up with the rocket like NumbaNine
I don't want your hoes
Young nigga reach all the goals
Let her suck the dick, said she was a pro
If she scrape her teeth, I'ma tell her to go

Go, go, go, go
Head so good, she a honor roll
She'll ride the dick like carnival
I done did the impossible
Go, go, go, go (Ha, ha, ha)
Head so good, she a honor roll
She'll ride the dick like carnival
I done did the impossible

...
"
7,Training Season,Dua Lipa,88,"dance pop, pop, uk pop",209487,2024-02-15,91,0.815,0.582,5,-4.5,0,0.0532,0.0365,1.45e-06,0.138,0.671,123.03,4,"Are you someone that I can give my heart to?
Or just the poison that I'm drawn to?
It can be hard to tell the difference late at night
Play fair, is that a compass in your nature?
Or are you tricky?
'Cause I've been there
And baby, I don't need to learn my lesson twice

But if you really wanna go there
You should know I

I need someone to hold me close, deeper than I've ever known
Whose love feels like a rodeo, knows just how to take control
When I'm vulnerable, he's straight-talking to my soul
Conversation overload, got me feeling vertigo

Are you somebody who can go there?
'Cause I don't wanna have to show ya
...
"
8,positions,Ariana Grande,89,pop,172324,2020-10-23,1,0.736,0.802,0,-4.759,1,0.0864,0.468,0.0,0.094,0.675,144.005,4,"Heaven sent you to me
I'm just hopin' I don't repeat history

Boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (ah-ah)
Never need no (no), no one else, babe
'Cause I'll be

Switchin' the positions for you
Cookin' in the kitchen, and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you

Perfect, perfect
You're too good to be true (you're too good to be true)
But I get tired of runnin'
Now I'm runnin' with you (wit' you)

...
"
9,greedy,Tate McRae,86,"alt z, pop",131872,2023-09-15,99,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,1,"(Woo!)

He said, ""Are you serious? I've tried, but I can't figure out
I've been next to you all night and still don't know what you're about
You keep ta- (ta-ta-), talkin', but not much comin' out your mouth
Can't you tell that I want you?"" I say, ""Yeah""

I would want myself, baby, please, believe me
I'll put you through hell just to know me, yeah-yeah
So sure of yourself, baby, don't get greedy
That shit won't end well, no, it won't end well
(Uh-uh, uh-uh-uh, uh-uh) (woo)

...
"
