Track Name;Artist;YouTube Link
"""yes and?""";Ariana Grande;https://www.youtube.com/watch?v=eB6txyhHFG4
Snooze;SZA;https://www.youtube.com/watch?v=LDY_XyxBu8A
Die For You - Remix;The Weeknd;https://www.youtube.com/watch?v=YQ-qToZUybM
Stick Season;Noah Kahan;https://www.youtube.com/watch?v=iWG6apzIWAk
vampire;Olivia Rodrigo;https://www.youtube.com/watch?v=RlPNh_PBZb4
Saturn;SZA;https://www.youtube.com/watch?v=V2G8ESoDXm8
CARNIVAL;¥$;https://www.youtube.com/watch?v=4xZSClBlrfU
Training Season;Dua Lipa;https://www.youtube.com/watch?v=ZjBZ8MUnB0E
positions;Ariana Grande;https://www.youtube.com/watch?v=tcYodQoapMg
greedy;Tate McRae;https://www.youtube.com/watch?v=To4SWGZkEPk
Lovin On Me;Jack Harlow;https://www.youtube.com/watch?v=Iq8h3GEe22o
Here With Me;d4vd;https://www.youtube.com/watch?v=Ip6cw8gfHHI
cardigan;Taylor Swift;https://www.youtube.com/watch?v=K-a8s8OLBSE
Happier Than Ever;Billie Eilish;https://www.youtube.com/watch?v=5GJWxDKyk3A
Kill Bill;SZA;https://www.youtube.com/watch?v=SQnc1QibapQ
traitor;Olivia Rodrigo;https://www.youtube.com/watch?v=CRrf3h9vhp8
My Love Mine All Mine;Mitski;https://www.youtube.com/watch?v=vx4kLgnFexo
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;https://www.youtube.com/watch?v=LIIDh-qI9oI
CUFF IT;Beyoncé;https://www.youtube.com/watch?v=yrtWLyp5gLI
Boy's a liar Pt. 2;PinkPantheress;https://www.youtube.com/watch?v=oftolPu9qp4
Dynamite;BTS;https://www.youtube.com/watch?v=gdZLi9oWNZg
STAY (with Justin Bieber);The Kid LAROI;https://www.youtube.com/watch?v=kTJczUoc26U
Blinding Lights;The Weeknd;https://www.youtube.com/watch?v=4NRXx6U8ABQ
redrum;21 Savage;https://www.youtube.com/watch?v=U4mADkt6o-M
What You Know Bout Love;Pop Smoke;https://www.youtube.com/watch?v=uuodbSVO3z0
Blueberry Faygo;Lil Mosey;https://www.youtube.com/watch?v=V_jHc_n0p9c
Levitating (feat. DaBaby);Dua Lipa;https://www.youtube.com/watch?v=TUVcZfQe-Kw
MONTERO (Call Me By Your Name);Lil Nas X;https://www.youtube.com/watch?v=6swmTBVI83k
drivers license;Olivia Rodrigo;https://www.youtube.com/watch?v=ZmDBbnmKpqQ
"""What Was I Made For? [From The Motion Picture """"Barbie""""]""";Billie Eilish;https://www.youtube.com/watch?v=cW8VLC9nnTo
Woman;Doja Cat;https://www.youtube.com/watch?v=yxW5yuzVi8w
Unholy (feat. Kim Petras);Sam Smith;https://www.youtube.com/watch?v=Uq9gPaIzbe8
WAP (feat. Megan Thee Stallion);Cardi B;https://www.youtube.com/watch?v=hsm4poTWjMs
DÁKITI;Bad Bunny;https://www.youtube.com/watch?v=TmKh7lAwnBI
Seven (feat. Latto);Jung Kook;https://www.youtube.com/watch?v=QU9c0053UAU
Anti-Hero;Taylor Swift;https://www.youtube.com/watch?v=b1kbLwvqugk
death bed (coffee for your head);Powfu;https://www.youtube.com/watch?v=jJPMnTXl63E
Good Days;SZA;https://www.youtube.com/watch?v=0BdlKkvjEgA
Heartbreak Anniversary;Giveon;https://www.youtube.com/watch?v=uWRlisQu4fo
Heat Waves;Glass Animals;https://www.youtube.com/watch?v=mRD0-GxqHVo
Glimpse of Us;Joji;https://www.youtube.com/watch?v=NgsWGfUlwJI
Bad Habit;Steve Lacy;https://www.youtube.com/watch?v=VF-FGf_ZZiI
Mood (feat. iann dior);24kGoldn;https://www.youtube.com/watch?v=GrAchTdepsU
august;Taylor Swift;https://www.youtube.com/watch?v=nn_0zPAfyo8
Feather;Sabrina Carpenter;https://www.youtube.com/watch?v=kLbn61Z4LDI
Water;Tyla;https://www.youtube.com/watch?v=XoiOOiuH8iI
34+35;Ariana Grande;https://www.youtube.com/watch?v=B6_iQvaIjXw
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;https://www.youtube.com/watch?v=tQ0yjYUFKAE
First Class;Jack Harlow;https://www.youtube.com/watch?v=yQBImEeXNZ4
Rich Flex;Drake;https://www.youtube.com/watch?v=I4DjHHVHWAE
FTCU;Nicki Minaj;https://www.youtube.com/watch?v=zE53Otfrr0k
Love On;Selena Gomez;https://www.youtube.com/watch?v=mNHNktxbjdk
Toosie Slide;Drake;https://www.youtube.com/watch?v=xWggTb45brM
Rain On Me (with Ariana Grande);Lady Gaga;https://www.youtube.com/watch?v=AoAm4om0wTs
Yummy;Justin Bieber;https://www.youtube.com/watch?v=8EJ3zbKTWQ8
Holy (feat. Chance The Rapper);Justin Bieber;https://www.youtube.com/watch?v=pvPsJFRGleA
Prisoner (feat. Dua Lipa);Miley Cyrus;https://www.youtube.com/watch?v=0ir1qkPXPVM
Physical;Dua Lipa;https://www.youtube.com/watch?v=9HDEHj2yzew
POPSTAR (feat. Drake);DJ Khaled;https://www.youtube.com/watch?v=3CxtK7-XtE0
Fair Trade (with Travis Scott);Drake;https://www.youtube.com/watch?v=THVbtGqEO1o
Butter;BTS;https://www.youtube.com/watch?v=WMweEpGlu_U
Kiss Me More (feat. SZA);Doja Cat;https://www.youtube.com/watch?v=0EVVKs6DQLo
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;https://www.youtube.com/watch?v=UTHLKHL_whs
Need to Know;Doja Cat;https://www.youtube.com/watch?v=dI3xkL7qUAc
Bad Habits;Ed Sheeran;https://www.youtube.com/watch?v=orJSJGHjBLI
pov;Ariana Grande;https://www.youtube.com/watch?v=nQJEp-k-ogs
willow;Taylor Swift;https://www.youtube.com/watch?v=RsEZmictANA
You Right;Doja Cat;https://www.youtube.com/watch?v=JXgV1rXUoME
THATS WHAT I WANT;Lil Nas X;https://www.youtube.com/watch?v=QDYDRA5JPLE
Is There Someone Else?;The Weeknd;https://www.youtube.com/watch?v=i4ZuseKFBF0
Late Night Talking;Harry Styles;https://www.youtube.com/watch?v=4VaqA-5aQTM
Left and Right (Feat. Jung Kook of BTS);Charlie Puth;https://www.youtube.com/watch?v=a7GITgqwDVg
Lavender Haze;Taylor Swift;https://www.youtube.com/watch?v=h8DLofLM7No
Ghost;Justin Bieber;https://www.youtube.com/watch?v=qguo-j5PxBE
Out of Time;The Weeknd;https://www.youtube.com/watch?v=2fDzCWNS3ig
Bam Bam (feat. Ed Sheeran);Camila Cabello;https://www.youtube.com/watch?v=-8VfKZCOo_I
Ella Baila Sola;Eslabon Armado;https://www.youtube.com/watch?v=lZiaYpD9ZrI
Paint The Town Red;Doja Cat;https://www.youtube.com/watch?v=m4_9TFeMfJE
Calm Down (with Selena Gomez);Rema;https://www.youtube.com/watch?v=WcIcVapfqXw
Daylight;David Kushner;https://www.youtube.com/watch?v=MoN9ql6Yymw
Karma;Taylor Swift;https://www.youtube.com/watch?v=rg18Kf4en2o
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series);The Weeknd;https://www.youtube.com/watch?v=K6WCcBP4lSs
bad idea right?;Olivia Rodrigo;https://www.youtube.com/watch?v=Dj9qJsJTsjQ
love nwantiti (ah ah ah);CKay;https://www.youtube.com/watch?v=D-YDEyuDxWU
Beggin';Måneskin;https://www.youtube.com/watch?v=W2MpGCL8-9o
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Taylor Swift;https://www.youtube.com/watch?v=sRxrwjOtIag
happier;Olivia Rodrigo;https://www.youtube.com/watch?v=ZQFmRXgeR-s
telepatía;Kali Uchis;https://www.youtube.com/watch?v=Dwzk-XZxZ4k
Astronaut In The Ocean;Masked Wolf;https://www.youtube.com/watch?v=MEg-oqI9qmw
Hurricane;Kanye West;https://www.youtube.com/watch?v=LZ2kSbSrDLs
Hold On;Justin Bieber;https://www.youtube.com/watch?v=8ofCZObsnOo
My Universe;Coldplay;https://www.youtube.com/watch?v=bZYPI4mYwhw
Todo De Ti;Rauw Alejandro;https://www.youtube.com/watch?v=CFPLIaMpGrY
I WANNA BE YOUR SLAVE;Måneskin;https://www.youtube.com/watch?v=yOb9Xaug35M
Up;Cardi B;https://www.youtube.com/watch?v=AtVPsPct4KM
Baila Conmigo (with Rauw Alejandro);Selena Gomez;https://www.youtube.com/watch?v=h5WN3pkxPF0
Yonaguni;Bad Bunny;https://www.youtube.com/watch?v=doLMt10ytHY
Body;Megan Thee Stallion;https://www.youtube.com/watch?v=gYPX5juKBvg
Arcade (feat. FLETCHER);Duncan Laurence;https://www.youtube.com/watch?v=51u5fnyrGj4
Build a Bitch;Bella Poarch;https://www.youtube.com/watch?v=FLGCGc7sAUw
Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;https://www.youtube.com/watch?v=BSzSn-PRdtI
Solar Power;Lorde;https://www.youtube.com/watch?v=wvsP_lzh2-8
We're Good;Dua Lipa;https://www.youtube.com/watch?v=jr47YisIsz8
WITHOUT YOU (with Miley Cyrus);The Kid LAROI;https://www.youtube.com/watch?v=LvB4GUTWDcI
Love Story (Taylor’s Version);Taylor Swift;https://www.youtube.com/watch?v=aXzVF3XeS8M
late at night;Roddy Ricch;https://www.youtube.com/watch?v=sJDRfZJFAk0
Calling My Phone;Lil Tjay;https://www.youtube.com/watch?v=zzd4ydafGR0
RAPSTAR;Polo G;https://www.youtube.com/watch?v=05tpymEcmRU
Girls Want Girls (with Lil Baby);Drake;https://www.youtube.com/watch?v=b8M6N0FTpNc
Whoopty;CJ;https://www.youtube.com/watch?v=2xWkATdMQms
LA NOCHE DE ANOCHE;Bad Bunny;https://www.youtube.com/watch?v=f5omY8jVrSM
Anyone;Justin Bieber;https://www.youtube.com/watch?v=KIK3azN4w34
Meet Me At Our Spot;THE ANXIETY;https://www.youtube.com/watch?v=2dTMIH5gCHg
Afterglow;Ed Sheeran;https://www.youtube.com/watch?v=8HxbqAsppwU
BICHOTA;KAROL G;https://www.youtube.com/watch?v=QaXhVryxVBk
Bandido;Myke Towers;https://www.youtube.com/watch?v=7dGysPC_q9k
test drive;Ariana Grande;https://www.youtube.com/watch?v=1zNYZd94ui8
Lemonade;Internet Money;https://www.youtube.com/watch?v=0opZqh_TprM
Watermelon Sugar;Harry Styles;https://www.youtube.com/watch?v=E07s5ZYygMg
Lost Cause;Billie Eilish;https://www.youtube.com/watch?v=S2dRcipMCpw
Selfish Love (with Selena Gomez);DJ Snake;https://www.youtube.com/watch?v=gQG_2O9Bu6c
Head & Heart (feat. MNEK);Joel Corry;https://www.youtube.com/watch?v=CRuOOxF-ENQ
Save Your Tears;The Weeknd;https://www.youtube.com/watch?v=XXYlFuWEuKI
Best Friend (feat. Doja Cat);Saweetie;https://www.youtube.com/watch?v=_xJUCsyMQes
What’s Next;Drake;https://www.youtube.com/watch?v=7EUVJaKJtBY
On The Ground;ROSÉ;https://www.youtube.com/watch?v=CKZvWhCqx1s
As I Am (feat. Khalid);Justin Bieber;https://www.youtube.com/watch?v=33Uh-uNb5Oc
Met Him Last Night (feat. Ariana Grande);Demi Lovato;https://www.youtube.com/watch?v=aY7os8Qms6w
m y . l i f e (with 21 Savage & Morray);J. Cole;https://www.youtube.com/watch?v=wLQ8u3xRZd8
Permission to Dance;BTS;https://www.youtube.com/watch?v=CuklIb9d3fI
t r a n s p a r e n t s o u l feat. Travis Barker;WILLOW;https://www.youtube.com/watch?v=6M0IO4fyRoc
Motley Crew;Post Malone;https://www.youtube.com/watch?v=lCiV4wACZ8w
Pepas;Farruko;https://www.youtube.com/watch?v=y8trd3gjJt0
Rumors (feat. Cardi B);Lizzo;https://www.youtube.com/watch?v=4P9XUrniiK4
Skate;Bruno Mars;https://www.youtube.com/watch?v=CEw-7cMnBDY
Cold Heart - PNAU Remix;Elton John;https://www.youtube.com/watch?v=qod03PVTLqk
